with regard to,~に関して
Nevertheless,しかしながら
to have 人 動詞の原型,誰かに〜してもらう
as,しかしながら
tempation,誘惑
imported,輸入された
revived,復活した
abandoned,放棄された
time to time,時々
in good hands,安泰で
all concerned,関係者全員
depending on ~,~に応じて
can be found,~があります
make good use of ~,~を有効に活用する
be eligible for ~,~の資格がある
on top of ~,~に加えて
up to ~,最大で
be sure to do,必ず〜するように（相手に注意や指示）
in the subject line of your email,メールの件名欄(subject)に
indefinite,無期限の
take the liberty of doing,勝手に〜する
in consideration of ~,~を考慮して
I'm afraid that ...,残念ながら...だと思います
commit,~と約束する・委託する・拘束する
ever since,〜以来ずっと
far cry from ~,~とは全く異なるもの
fellow students,同級生
appreciation of ~,~の理解・鑑賞・感謝
quit,やめる
rekindale,再燃させる・よみがえらせる
laid back,くつろいだ・のんびりした
revamp,~を改良する
fate,運命
hardly,ほとんど〜ない
a real treat,本当に楽しいこと・本当に素晴らしいこと
marvel,驚異・驚くべきもの
have going for ~,~の強みがある
acoustic feature,音響機能
on paper,理論上は
take over from ~,~から引き継ぐ
bring on by ~,~によって引き起こされる・（悪い結果）を引き起こす
in charge of ~,~を担当して
qualify for ~,~の資格を得る
segment,部分・一コマ
typically,通常は
turn down,断る
archived,保存された・記録された
intact,無傷のまま
investigate,調査する
slip one's mind,忘れる
firm,企業
get in touch with,〜と連絡を取る
so that ~,~できるように・〜するために
all the way,はるばる
nature,性質
shortcoming,不足
required,必須の
qualification,要件
duration,期間
in-house,社内の
of the essence,非常に重要な
among,〜の中で・〜の間で
endorsement,支持・承認・推薦
clientele,顧客
syndicated,提携した・共同販売された
giveaway,無料配布品・景品
as well as,同様に
capable,有能な・能力がある
celebrity,有名人
stall,屋台・売店
open-air,屋外の
vie for ~,~を求めて争う
dipiction,描写
spanning,及ぶ・~にわたる
ornate,華麗な・飾り立てた
premis,敷地・建物
grandness,壮大さ
deserve,値する
regard,みなす・考える・評価する
each with ~,それぞれが~を持つ
private sector,民間部門
suited,適した
valued,価値のある・重視される
assess,評価する
acknowledge,認める・感謝する
sought after,人気のある・引っ張りだこの
demonstrably,明白に・明確に
fledging businesses,新興企業(fledging=羽ばたき始める)
be advised that ...,...とご承知おきください
on short notice,急な依頼で・突然
track record,実績
vouch for ~,~を保証する・~の責任を負う
sort out,解決する・整理する
explore,探索する
instituted,設立された・制定された
fruits,成果・実り
profitability,収益性
underpermorming,業績不振の
imitate,模倣する
be obliged to do,〜せざるを得ない・〜する義務がある
retroactivelt,遡及的に・さかのぼって
deduct,差し引く・控除する
discrepancies,不一致・相違
live up to ~,~に応える・~に見合う
worth while,価値のある
causes,原因・理由・活動・運動
council tax,地方税
curator,学芸員・キュレーター・館長
derive A from B,BからAを得る
offset,埋め合わせる・相殺する
end up ~,結局〜になる
naturally,当然・もちろん
despite,〜にもかかわらず
confectionery,菓子類
discouraging,やる気をそぐ・思いとどまらせる・がっかりさせるような
in short,要するに
put someone on notice,~に通告する
prized,貴重な・高く評価された
possession,所有物・所持品
make it to ~,~に到着する・~に間に合う
a while,しばらくの間
enterprise,企業・事業
textile,織物・布地
nominate,推薦する
